date,location,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2015-01-01,Brazil_EspiritoSanto,32.4,20.8,0.0,14.5
2015-01-02,Brazil_EspiritoSanto,33.2,21.3,0.0,14.3
2015-01-03,Brazil_EspiritoSanto,32.2,21.9,0.0,15.7
2015-01-04,Brazil_EspiritoSanto,31.6,22.3,0.0,15.6
2015-01-05,Brazil_EspiritoSanto,31.8,21.7,0.0,16.5
2015-01-06,Brazil_EspiritoSanto,28.6,21.9,2.4,13.7
2015-01-07,Brazil_EspiritoSanto,30.5,21.1,0.6,15.0
2015-01-08,Brazil_EspiritoSanto,29.0,21.2,0.2,14.0
2015-01-09,Brazil_EspiritoSanto,31.0,21.5,0.2,14.1
2015-01-10,Brazil_EspiritoSanto,30.5,21.5,0.2,13.0
2015-01-11,Brazil_EspiritoSanto,32.3,21.1,0.0,15.9
2015-01-12,Brazil_EspiritoSanto,32.8,22.5,0.0,17.3
2015-01-13,Brazil_EspiritoSanto,32.0,22.5,0.0,18.0
2015-01-14,Brazil_EspiritoSanto,31.7,21.8,0.0,17.7
2015-01-15,Brazil_EspiritoSanto,30.4,21.8,0.0,15.0
2015-01-16,Brazil_EspiritoSanto,29.9,21.9,0.2,14.3
2015-01-17,Brazil_EspiritoSanto,32.2,21.5,0.0,16.7
2015-01-18,Brazil_EspiritoSanto,33.1,22.2,0.0,17.4
2015-01-19,Brazil_EspiritoSanto,32.9,22.5,0.0,16.9
2015-01-20,Brazil_EspiritoSanto,32.5,22.6,0.6,16.0
2015-01-21,Brazil_EspiritoSanto,33.1,21.4,0.0,17.7
2015-01-22,Brazil_EspiritoSanto,32.9,23.1,0.0,20.3
2015-01-23,Brazil_EspiritoSanto,30.2,22.6,5.5,13.2
2015-01-24,Brazil_EspiritoSanto,31.3,21.7,0.2,16.8
2015-01-25,Brazil_EspiritoSanto,31.2,22.0,0.0,14.7
2015-01-26,Brazil_EspiritoSanto,33.2,22.3,0.0,16.6
2015-01-27,Brazil_EspiritoSanto,32.7,22.9,0.0,17.6
2015-01-28,Brazil_EspiritoSanto,33.3,23.3,0.0,17.7
2015-01-29,Brazil_EspiritoSanto,34.0,22.8,0.0,14.7
2015-01-30,Brazil_EspiritoSanto,35.6,22.3,0.0,16.6
2015-01-31,Brazil_EspiritoSanto,34.0,22.4,0.0,17.3
2015-02-01,Brazil_EspiritoSanto,33.0,22.8,0.2,16.9
2015-02-02,Brazil_EspiritoSanto,33.3,22.8,0.0,17.3
2015-02-03,Brazil_EspiritoSanto,32.5,22.1,0.6,15.1
2015-02-04,Brazil_EspiritoSanto,34.0,22.0,0.2,19.7
2015-02-05,Brazil_EspiritoSanto,32.2,23.5,0.0,13.4
2015-02-06,Brazil_EspiritoSanto,26.6,23.2,22.1,11.3
2015-02-07,Brazil_EspiritoSanto,27.6,23.3,21.8,15.1
2015-02-08,Brazil_EspiritoSanto,29.9,22.4,20.8,13.0
2015-02-09,Brazil_EspiritoSanto,30.1,22.2,4.4,14.5
2015-02-10,Brazil_EspiritoSanto,29.2,22.9,0.1,15.5
2015-02-11,Brazil_EspiritoSanto,31.3,22.3,0.0,12.0
2015-02-12,Brazil_EspiritoSanto,31.9,22.6,0.0,12.3
